deviceid,signalsid,signalname,alarmlevel,signalnumber,nmalarmid
100100000000005,005305,燃油余量,2,000,
100100000000005,005306,启动电池电压,3,000,
100100000000005,005307,输出线电压Uab,3,000,
100100000000005,005308,输出线电压Ubc,3,000,
100100000000005,005309,输出线电压Uca,3,000,
100100000000005,005310,输出相电压Ua,3,000,
100100000000005,005311,输出相电压Ub,3,000,
100100000000005,005312,输出相电压Uc,4,000,
100100000000005,005313,输出相电流Ia,4,000,
100100000000005,005314,输出相电流Ib,4,000,
100100000000005,005315,输出相电流Ic,2,000,
100100000000005,005316,有功功率Pa,2,000,
100100000000005,005317,有功功率Pb,3,000,
100100000000005,005318,有功功率Pc,3,000,
100100000000005,005319,无功功率Qa,3,000,
100100000000005,005320,无功功率Qb,2,000,
100100000000005,005321,无功功率Qc,4,000,
100100000000005,005322,功率因数,2,000,
100100000000005,005323,频率,3,000,
100100000000005,005324,运行总时长,3,000,
100100000000005,005325,燃机XX转速,4,000,
100100000000005,005326,左燃机T4温度,4,000,
100100000000005,005327,燃机XX喷嘴前压力,2,000,
100100000000005,005328,燃机XX润滑油压力,2,000,
100100000000005,005329,燃机XX润滑油进油温度,4,000,
100100000000005,005330,燃机XX润滑油回油温度,4,000,
100100000000005,005331,燃机XX水平振动,2,000,
100100000000005,005332,燃机XX垂直振动,2,000,
100100000000005,005333,燃机XX扭矩,2,000,
100100000000005,005334,燃机XX供油量,2,000,
100100000000005,005335,燃机XX供油输出,2,000,
100100000000005,005336,离合器滑油箱温度,1,000,
100100000000005,005337,驱动端XX温度,1,000,
100100000000005,005338,非驱动端XX温度,1,000,
100100000000005,005339,绕组温度,2,000,
100100000000005,005340,蓄电池XX电压,1,000,
100100000000005,005341,燃机舱温度,2,000,
100100000000005,005342,进气温度,2,000,
100100000000005,005343,离合器滑油压力,2,000,
100100000000005,005344,离合器滑油回油温度,2,000,
100100000000005,005345,氢气压力,3,000,
100100000000005,005346,燃料电池温度,2,000,
100100000000005,005347,燃料箱液位,3,000,
100100000000005,005348,燃料室内氢气浓度,2,000,
100100000000005,005349,负载率,2,000,
100100000000005,005350,直流输出电压,2,000,
100100000000005,005351,直流输出电流,4,000,
100100000000005,005352,总有功功率P,1,000,
100100000000005,005401,油机工作状态,4,000,
100100000000005,005001,超速停机告警,1,000,601-005-1-005001
100100000000005,005002,输出低电压停机告警,2,000,601-005-1-005002
100100000000005,005003,高水温停机告警,2,000,601-005-1-005003
100100000000005,005004,过载停机告警,2,000,601-005-1-005004
100100000000005,005005,紧急停机告警,2,000,601-005-1-005005
100100000000005,005010,低油温告警,3,000,601-005-1-005010
100100000000005,005011,低油压告警,2,000,601-005-1-005011
100100000000005,005012,水温低告警,3,000,601-005-1-005012
100100000000005,005013,低水位告警,2,000,601-005-1-005013
100100000000005,005014,启动失败故障告警,2,000,601-005-1-005014
100100000000005,005015,控制系统告警,2,000,601-005-1-005015
100100000000005,005020,进排风风门告警,4,000,601-005-1-005020
100100000000005,005021,启动电池电压低告警,1,000,601-005-1-005021
100100000000005,005022,充电器故障告警,3,000,601-005-1-005022
100100000000005,005023,启动电池电压高告警,2,000,601-005-1-005023
100100000000005,005024,油机不在自动位置告警,3,000,601-005-1-005024
100100000000005,005025,燃油油位低告警,2,000,601-005-1-005025
100100000000005,005030,输出电压高告警,3,000,601-005-1-005030
100100000000005,005031,输出电压低告警,3,000,601-005-1-005031
100100000000005,005032,输出过载告警,2,000,601-005-1-005032
100100000000005,005033,输出频率高告警,3,000,601-005-1-005033
100100000000005,005034,输出频率低告警,3,000,601-005-1-005034
100100000000005,005035,油机运行状态告警,3,000,601-005-1-005035
100100000000005,005040,A相输出电压过高告警,2,000,601-005-1-005040
100100000000005,005041,B相输出电压过高告警,2,000,601-005-1-005041
100100000000005,005042,C相输出电压过高告警,2,000,601-005-1-005042
100100000000005,005043,A相输出电压过低告警,2,000,601-005-1-005043
100100000000005,005044,B相输出电压过低告警,2,000,601-005-1-005044
100100000000005,005045,C相输出电压过低告警,2,000,601-005-1-005045
100100000000005,005047,高油温告警,2,000,601-005-1-005047
100100000000005,005048,高压断路器分闸告警,2,000,601-005-1-005048
100100000000005,005061,系统工作状态告警,3,000,601-005-1-005061
100100000000005,005062,系统超温告警,2,000,601-005-1-005062
100100000000005,005063,系统主瓶氢压低告警,3,000,601-005-1-005063
100100000000005,005064,系统副瓶氢压低告警,3,000,601-005-1-005064
100100000000005,005065,第XX路氢气状态告警,3,000,601-005-1-005065
100100000000005,005066,室内氢气浓度告警,2,000,601-005-1-005066
100100000000005,005067,安全模式告警,2,000,601-005-1-005067
100100000000006,006101,模块XX开机,2,000,
100100000000006,006102,模块XX关机,3,000,
100100000000006,006103,遥控均浮充,2,000,
100100000000006,006104,电池组放电测试启动,3,000,
100100000000006,006105,电池组放电测试结束,3,000,
100100000000006,006106,电池温度补偿启停,2,000,
100100000000006,006107,能耗管理启动停止,3,000,
100100000000006,006201,均充电压设定值,3,000,
100100000000006,006202,浮充电压设定值,3,000,
100100000000006,006203,电池组测试结束电压,2,000,
100100000000006,006204,电池组测试结束时间,2,000,
100100000000006,006205,温度补偿系数,2,000,
100100000000006,006206,模块负载率,2,000,
100100000000006,006207,充电限流设定,2,000,
100100000000006,006301,输入相电压Ua,2,000,
100100000000006,006302,输入相电压Ub,2,000,
100100000000006,006303,输入相电压Uc,2,000,
100100000000006,006304,输入相电流Ia,4,000,
100100000000006,006305,输入相电流Ib,3,000,
100100000000006,006306,输入相电流Ic,4,000,
100100000000006,006307,频率,3,000,
100100000000006,006308,直流输出电压,4,000,
100100000000006,006309,负载总电流,3,000,
100100000000006,006310,模块XX电流,3,000,
100100000000006,006311,模块XX温度,3,000,
100100000000006,006312,电池组XX电流,3,000,
100100000000006,006313,输入XX线电压Uab,3,000,
100100000000006,006314,输入XX线电压Ubc,4,000,
100100000000006,006315,输入XX线电压Uca,4,000,
100100000000006,006316,分路XX电流,4,000,
100100000000006,006317,系统额定容量,2,000,
100100000000006,006318,配置模块数量,3,000,
100100000000006,006319,整流模块XX额定容量,2,000,
100100000000006,006320,蓄电池组数,2,000,
100100000000006,006321,电池组XX额定容量,3,000,
100100000000006,006322,电池组额定总容量,3,000,
100100000000006,006323,电池组实际总容量,3,000,
100100000000006,006324,电池组剩余容量百分比,3,000,
100100000000006,006401,模块XX开关状态,4,000,
100100000000006,006402,电源工作状态,4,000,
100100000000006,006001,电池熔丝故障告警,1,000,601-006-1-006001
100100000000006,006002,电池充电过流告警,3,000,601-006-1-006002
100100000000006,006003,电池组温度过高告警,3,000,601-006-1-006003
100100000000006,006004,电池放电不平衡告警,4,000,601-006-1-006004
100100000000006,006005,电池总容量过低告警,3,000,601-006-1-006005
100100000000006,006006,电池剩余容量过低告警,3,000,601-006-1-006006
100100000000006,006010,负载电流过高告警,4,000,601-006-1-006010
100100000000006,006011,负载熔丝故障告警,1,000,601-006-1-006011
100100000000006,006012,输出电压过低告警,1,000,601-006-1-006012
100100000000006,006013,输出电压过高告警,2,000,601-006-1-006013
100100000000006,006014,直流屏通讯中断告警,2,000,601-006-1-006014
100100000000006,006015,监控模块故障告警,2,000,601-006-1-006015
100100000000006,006016,浮充电压低告警,3,000,601-006-1-006016
100100000000006,006017,浮充电压高告警,3,000,601-006-1-006017
100100000000006,006018,一级低压脱离告警,1,000,601-006-1-006018
100100000000006,006019,二级低压脱离告警,1,000,601-006-1-006019
100100000000006,006023,第XX路直流输出分路断开告警,1,000,601-006-1-006023
100100000000006,006020,输出中断告警,1,000,601-006-1-006020
100100000000006,006021,输出电压低告警,2,000,601-006-1-006021
100100000000006,006022,输出电压高告警,2,000,601-006-1-006022
100100000000006,006030,交流缺相告警,2,000,601-006-1-006030
100100000000006,006031,交流输入故障告警,2,000,601-006-1-006031
100100000000006,006032,交流输入频率告警,3,000,601-006-1-006032
100100000000006,006033,市电切换失败故障告警,2,000,601-006-1-006033
100100000000006,006034,防雷器空开断开告警,3,000,601-006-1-006034
100100000000006,006035,防雷器故障告警,3,000,601-006-1-006035
100100000000006,006036,交流屏通讯中断告警,3,000,601-006-1-006036
100100000000006,006037,交流输入XX电压过高告警,3,000,601-006-1-006037
100100000000006,006038,交流输入XX电压过低告警,3,000,601-006-1-006038
100100000000006,006040,整流模块故障告警,3,000,601-006-1-006040
100100000000006,006041,整流模块XX风扇告警,3,000,601-006-1-006041
100100000000006,006042,整流模块过压关机告警,2,000,601-006-1-006042
100100000000006,006043,整流模块过温告警,3,000,601-006-1-006043
100100000000006,006044,整流模块通讯告警,3,000,601-006-1-006044
100100000000006,006045,整流模块XX关机告警,2,000,601-006-1-006045
100100000000106,006309,负载总电流,3,000,
100100000000206,006309,负载总电流,3,000,
100100000000007,007301,标示单体XX温度,2,000,
100100000000007,007302,电池组总电压,2,000,
100100000000007,007303,单体XX电压,3,000,
100100000000007,007304,单体XX温度,2,000,
100100000000007,007305,单体XX内阻,2,000,
100100000000007,007306,单体XX容量,3,000,
100100000000007,007307,充电电流,3,000,
100100000000007,007308,放电电流,3,000,
100100000000007,007401,工作状态,4,000,
100100000000007,007001,电池组总电压过高告警,2,000,601-007-1-007001
100100000000007,007002,电池组总电压过低告警,1,000,601-007-1-007002
100100000000007,007003,电池组标示XX温度过高告警,3,000,601-007-1-007003
100100000000007,007004,单体XX电压过高告警,2,000,601-007-1-007004
100100000000007,007005,单体XX电压过低告警,2,000,601-007-1-007005
100100000000007,007006,电池组中间点电压不平衡,3,000,601-007-1-007006
100100000000007,007007,单体XX温度过高告警,3,000,601-007-1-007007
100100000000007,007008,单体XX内阻过大告警,3,000,601-007-1-007008
100100000000007,007009,单体XX容量过小告警,2,000,601-007-1-007009
100100000000007,007080,放电告警,3,000,601-007-1-007080
100100000000107,007301,标识单体01温度,2,001,601-007-00-007301
100100000000107,007301,标识单体02温度,2,002,601-007-00-007301
100100000000107,007301,标识单体03温度,2,003,601-007-00-007301
100100000000107,007301,标识单体04温度,2,004,601-007-00-007301
100100000000107,007302,电池组总电压,1,000,601-007-00-007302
100100000000107,007303,单体01电压,3,001,601-007-00-007303
100100000000107,007304,单体01温度,2,001,601-007-00-007304
100100000000107,007305,单体01内阻,2,001,601-007-00-007305
100100000000107,007306,单体01容量,3,001,601-007-00-007306
100100000000107,007303,单体02电压,3,002,601-007-00-007303
100100000000107,007304,单体02温度,2,002,601-007-00-007304
100100000000107,007305,单体02内阻,2,002,601-007-00-007305
100100000000107,007306,单体02容量,3,002,601-007-00-007306
100100000000107,007303,单体03电压,3,003,601-007-00-007303
100100000000107,007304,单体03温度,2,003,601-007-00-007304
100100000000107,007305,单体03内阻,2,003,601-007-00-007305
100100000000107,007306,单体03容量,3,003,601-007-00-007306
100100000000107,007303,单体04电压,3,004,601-007-00-007303
100100000000107,007304,单体04温度,2,004,601-007-00-007304
100100000000107,007305,单体04内阻,2,004,601-007-00-007305
100100000000107,007306,单体04容量,3,004,601-007-00-007306
100100000000107,007307,充电电流,3,000,601-007-00-007307
100100000000107,007308,放电电流,3,000,601-007-00-007308
100100000000207,007301,标识单体01温度,2,001,601-007-00-007301
100100000000207,007301,标识单体02温度,2,002,601-007-00-007301
100100000000207,007301,标识单体03温度,2,003,601-007-00-007301
100100000000207,007301,标识单体04温度,2,004,601-007-00-007301
100100000000207,007302,电池组总电压,1,000,601-007-00-007302
100100000000207,007303,单体01电压,3,001,601-007-00-007303
100100000000207,007304,单体01温度,2,001,601-007-00-007304
100100000000207,007305,单体01内阻,2,001,601-007-00-007305
100100000000207,007306,单体01容量,3,001,601-007-00-007306
100100000000207,007303,单体02电压,3,002,601-007-00-007303
100100000000207,007304,单体02温度,2,002,601-007-00-007304
100100000000207,007305,单体02内阻,2,002,601-007-00-007305
100100000000207,007306,单体02容量,3,002,601-007-00-007306
100100000000207,007303,单体03电压,3,003,601-007-00-007303
100100000000207,007304,单体03温度,2,003,601-007-00-007304
100100000000207,007305,单体03内阻,2,003,601-007-00-007305
100100000000207,007306,单体03容量,3,003,601-007-00-007306
100100000000207,007303,单体04电压,3,004,601-007-00-007303
100100000000207,007304,单体04温度,2,004,601-007-00-007304
100100000000207,007305,单体04内阻,2,004,601-007-00-007305
100100000000207,007306,单体04容量,3,004,601-007-00-007306
100100000000207,007307,充电电流,3,000,601-007-00-007307
100100000000207,007308,放电电流,3,000,601-007-00-007308
100100000000307,007301,标识单体01温度,2,001,601-007-00-007301
100100000000307,007301,标识单体02温度,2,002,601-007-00-007301
100100000000307,007301,标识单体03温度,2,003,601-007-00-007301
100100000000307,007301,标识单体04温度,2,004,601-007-00-007301
100100000000307,007302,电池组总电压,1,000,601-007-00-007302
100100000000307,007303,单体01电压,3,001,601-007-00-007303
100100000000307,007304,单体01温度,2,001,601-007-00-007304
100100000000307,007305,单体01内阻,2,001,601-007-00-007305
100100000000307,007306,单体01容量,3,001,601-007-00-007306
100100000000307,007303,单体02电压,3,002,601-007-00-007303
100100000000307,007304,单体02温度,2,002,601-007-00-007304
100100000000307,007305,单体02内阻,2,002,601-007-00-007305
100100000000307,007306,单体02容量,3,002,601-007-00-007306
100100000000307,007303,单体03电压,3,003,601-007-00-007303
100100000000307,007304,单体03温度,2,003,601-007-00-007304
100100000000307,007305,单体03内阻,2,003,601-007-00-007305
100100000000307,007306,单体03容量,3,003,601-007-00-007306
100100000000307,007303,单体04电压,3,004,601-007-00-007303
100100000000307,007304,单体04温度,2,004,601-007-00-007304
100100000000307,007305,单体04内阻,2,004,601-007-00-007305
100100000000307,007306,单体04容量,3,004,601-007-00-007306
100100000000307,007307,充电电流,3,000,601-007-00-007307
100100000000307,007308,放电电流,3,000,601-007-00-007308
100100000000407,007301,标识单体01温度,2,001,601-007-00-007301
100100000000407,007301,标识单体02温度,2,002,601-007-00-007301
100100000000407,007301,标识单体03温度,2,003,601-007-00-007301
100100000000407,007301,标识单体04温度,2,004,601-007-00-007301
100100000000407,007302,电池组总电压,1,000,601-007-00-007302
100100000000407,007303,单体01电压,3,001,601-007-00-007303
100100000000407,007304,单体01温度,2,001,601-007-00-007304
100100000000407,007305,单体01内阻,2,001,601-007-00-007305
100100000000407,007306,单体01容量,3,001,601-007-00-007306
100100000000407,007303,单体02电压,3,002,601-007-00-007303
100100000000407,007304,单体02温度,2,002,601-007-00-007304
100100000000407,007305,单体02内阻,2,002,601-007-00-007305
100100000000407,007306,单体02容量,3,002,601-007-00-007306
100100000000407,007303,单体03电压,3,003,601-007-00-007303
100100000000407,007304,单体03温度,2,003,601-007-00-007304
100100000000407,007305,单体03内阻,2,003,601-007-00-007305
100100000000407,007306,单体03容量,3,003,601-007-00-007306
100100000000407,007303,单体04电压,3,004,601-007-00-007303
100100000000407,007304,单体04温度,2,004,601-007-00-007304
100100000000407,007305,单体04内阻,2,004,601-007-00-007305
100100000000407,007306,单体04容量,3,004,601-007-00-007306
100100000000407,007307,充电电流,3,000,601-007-00-007307
100100000000407,007308,放电电流,3,000,601-007-00-007308
100100000000507,007301,标识单体01温度,2,001,601-007-00-007301
100100000000507,007301,标识单体02温度,2,002,601-007-00-007301
100100000000507,007301,标识单体03温度,2,003,601-007-00-007301
100100000000507,007301,标识单体04温度,2,004,601-007-00-007301
100100000000507,007302,电池组总电压,1,000,601-007-00-007302
100100000000507,007303,单体01电压,3,001,601-007-00-007303
100100000000507,007304,单体01温度,2,001,601-007-00-007304
100100000000507,007305,单体01内阻,2,001,601-007-00-007305
100100000000507,007306,单体01容量,3,001,601-007-00-007306
100100000000507,007303,单体02电压,3,002,601-007-00-007303
100100000000507,007304,单体02温度,2,002,601-007-00-007304
100100000000507,007305,单体02内阻,2,002,601-007-00-007305
100100000000507,007306,单体02容量,3,002,601-007-00-007306
100100000000507,007303,单体03电压,3,003,601-007-00-007303
100100000000507,007304,单体03温度,2,003,601-007-00-007304
100100000000507,007305,单体03内阻,2,003,601-007-00-007305
100100000000507,007306,单体03容量,3,003,601-007-00-007306
100100000000507,007303,单体04电压,3,004,601-007-00-007303
100100000000507,007304,单体04温度,2,004,601-007-00-007304
100100000000507,007305,单体04内阻,2,004,601-007-00-007305
100100000000507,007306,单体04容量,3,004,601-007-00-007306
100100000000507,007307,充电电流,3,000,601-007-00-007307
100100000000507,007308,放电电流,3,000,601-007-00-007308
100100000000008,008101,紧急停机,3,001,
100100000000008,008301,输入线电压Uab,3,002,
100100000000008,008302,输入线电压Ubc,4,003,
100100000000008,008303,输入线电压Uca,4,000,
100100000000008,008304,输入相电压Ua,4,000,
100100000000008,008305,输入相电压Ub,2,000,
100100000000008,008306,输入相电压Uc,2,000,
100100000000008,008307,输入相电流Ia,3,000,
100100000000008,008308,输入相电流Ib,3,000,
100100000000008,008309,输入相电流Ic,3,000,
100100000000008,008310,输入频率,2,000,
100100000000008,008311,输入功率因数,4,000,
100100000000008,008312,输出线电压Uab,2,000,
100100000000008,008313,输出线电压Ubc,3,000,
100100000000008,008314,输出线电压Uca,3,000,
100100000000008,008315,输出相电压Ua,4,000,
100100000000008,008316,输出相电压Ub,4,000,
100100000000008,008317,输出相电压Uc,2,000,
100100000000008,008318,输出相电流Ia,2,000,
100100000000008,008319,输出相电流Ib,4,000,
100100000000008,008320,输出相电流Ic,4,000,
100100000000008,008321,输出频率,2,000,
100100000000008,008322,输出功率因数,2,000,
100100000000008,008323,旁路线电压Uab,2,000,
100100000000008,008324,旁路线电压Ubc,2,000,
100100000000008,008325,旁路线电压Uca,2,000,
100100000000008,008326,旁路相电压Ua,1,000,
100100000000008,008327,旁路相电压Ub,1,000,
100100000000008,008328,旁路相电压Uc,1,000,
100100000000008,008329,旁路相电流Ia,2,000,
100100000000008,008330,旁路相电流Ib,1,000,
100100000000008,008331,旁路相电流Ic,2,000,
100100000000008,008332,旁路频率,2,000,
100100000000008,008333,电池组电流,2,000,
100100000000008,008334,电池组电压,2,000,
100100000000008,008335,输出视在功率Sa,3,000,
100100000000008,008336,输出视在功率Sb,2,000,
100100000000008,008337,输出视在功率Sc,3,000,
100100000000008,008338,输出有功功率Pa,2,000,
100100000000008,008339,输出有功功率Pb,2,000,
100100000000008,008340,输出有功功率Pc,2,000,
100100000000008,008341,输出总视在功率S,4,000,
100100000000008,008342,输出总有功功率P,1,000,
100100000000008,008343,输入总视在功率S,3,000,
100100000000008,008344,输入总有功功率P,2,000,
100100000000008,008345,零线环流,3,000,
100100000000008,008346,主机温度,2,000,
100100000000008,008347,逆变器温度,3,000,
100100000000008,008348,整流器温度,3,000,
100100000000008,008349,负载率A,2,000,
100100000000008,008350,负载率B,3,000,
100100000000008,008351,负载率C,3,000,
100100000000008,008352,模块XX电流,3,000,
100100000000008,008353,模块XX温度,2,000,
100100000000008,008354,模块XX负载率,2,000,
100100000000008,008355,模块XX输出功率,2,000,
100100000000008,008401,模块XX开关机状态,4,000,
100100000000008,008402,输出断路器关闭状态,4,000,
100100000000008,008403,电池断路器状态,4,000,
100100000000008,008404,静电开关状态,4,000,
100100000000008,008405,整流器输入断路器状态,4,000,
100100000000008,008406,正常工作状态,4,000,
100100000000008,008407,旁路方式工作状态,4,000,
100100000000008,008408,电池方式工作状态,4,000,
100100000000008,008001,输入中断告警,2,000,601-008-1-008001
100100000000008,008002,输入相电压Ux过高告警,3,000,601-008-1-008002
100100000000008,008003,输入相电压Ux过低告警,2,000,601-008-1-008003
100100000000008,008004,输入频率超限告警,3,000,601-008-1-008004
100100000000008,008005,输入线电压Uxx过高告警,3,000,601-008-1-008005
100100000000008,008006,输入线电压Uxx过低告警,2,000,601-008-1-008006
100100000000008,008010,输出相电压Ux过高告警,3,000,601-008-1-008010
100100000000008,008011,输出相电压Ux过低告警,1,000,601-008-1-008011
100100000000008,008012,输出中断告警,1,000,601-008-1-008012
100100000000008,008013,输出频率超限告警,3,000,601-008-1-008013
100100000000008,008014,输出电流过载告警,3,000,601-008-1-008014
100100000000008,008015,输出线电压Uxx过高告警,3,000,601-008-1-008015
100100000000008,008016,输出线电压Uxx过低告警,2,000,601-008-1-008016
100100000000008,008020,旁路故障告警,2,000,601-008-1-008020
100100000000008,008021,旁路不可用告警,2,000,601-008-1-008021
100100000000008,008023,旁路运行状态告警,1,000,601-008-1-008023
100100000000008,008024,旁路输出线电压Uxx过高告警,2,000,601-008-1-008024
100100000000008,008025,旁路输出线电压Uxx过低告警,2,000,601-008-1-008025
100100000000008,008026,旁路频率超限告警,2,000,601-008-1-008026
100100000000008,008030,整流器故障告警,2,000,601-008-1-008030
100100000000008,008031,逆变器交流电压过高告警,3,000,601-008-1-008031
100100000000008,008032,逆变器交流电压过低告警,1,000,601-008-1-008032
100100000000008,008033,逆变器频率超限告警,3,000,601-008-1-008033
100100000000008,008034,逆变器故障告警,2,000,601-008-1-008034
100100000000008,008040,风扇故障告警,3,000,601-008-1-008040
100100000000008,008041,电池电压低告警,2,000,601-008-1-008041
