所属模块,所属版本,相关需求,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,用例状态
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在不同楼栋和机房之间切换,无,1. 进入“运行分析--机房环境--温湿度分析”页面 2. 选择楼栋A和机房A 3. 切换到楼栋B和机房B 4. 查看数据,1. 数据正确切换为楼栋B和机房B的数据 2. 页面布局和功能保持一致,"切换, 数据",2,功能测试,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在不同标签页之间切换,无,1. 进入“运行分析--机房环境--温湿度分析”页面 2. 选择楼栋和机房 3. 切换到“历史数据”标签页 4. 再切换回“实时数据”标签页,1. 切换过程无卡顿或错误 2. 数据正确显示,"标签页, 切换",2,功能测试,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在不同浏览器中正常使用功能,无,1. 在Chrome浏览器中打开系统 2. 进入“运行分析--机房环境--温湿度分析”页面 3. 在Firefox浏览器中重复上述步骤,1. 功能在不同浏览器中表现一致 2. 数据和界面显示正常,"浏览器, 兼容性",2,兼容性,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在不同分辨率下正常使用功能,无,1. 在1920x1080分辨率下打开系统 2. 进入“运行分析--机房环境--温湿度分析”页面 3. 在1366x768分辨率下重复上述步骤,1. 页面布局自适应 2. 功能和数据显示正常,"分辨率, 兼容性",2,兼容性,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在不同操作系统中正常使用功能,无,1. 在Windows系统中打开系统 2. 进入“运行分析--机房环境--温湿度分析”页面 3. 在Mac系统中重复上述步骤,1. 功能在不同操作系统中表现一致 2. 数据和界面显示正常,"操作系统, 兼容性",2,兼容性,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在不同设备上正常使用功能,无,1. 在PC端打开系统 2. 进入“运行分析--机房环境--温湿度分析”页面 3. 在移动端重复上述步骤,1. 功能在不同设备上表现一致 2. 数据和界面显示正常,"设备, 兼容性",2,兼容性,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在无网络情况下访问页面,无,1. 在无网络环境下打开系统 2. 进入“运行分析--机房环境--温湿度分析”页面,1. 页面无法加载 2. 提示“网络连接失败”,"网络, 异常处理",2,功能测试,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在无权限情况下访问页面,无,1. 使用无权限用户登录系统 2. 进入“运行分析--机房环境--温湿度分析”页面,1. 页面无法访问 2. 提示“无权限访问该页面”,"权限, 安全相关",1,安全相关,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在有权限情况下访问页面,无,1. 使用有权限用户登录系统 2. 进入“运行分析--机房环境--温湿度分析”页面,1. 页面正常加载 2. 功能和数据显示正常,"权限, 安全相关",1,安全相关,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在高并发情况下正常使用功能,无,1. 模拟多个用户同时访问“运行分析--机房环境--温湿度分析”页面 2. 执行查询和导出等操作,1. 系统响应正常 2. 数据无丢失或错误,"高并发, 性能",2,性能测试,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在长时间运行后正常使用功能,无,1. 持续访问“运行分析--机房环境--温湿度分析”页面数小时 2. 执行查询和导出等操作,1. 系统无崩溃或卡顿 2. 数据和功能正常,"长时间运行, 稳定性",2,性能测试,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在无数据情况下正常显示,无,1. 选择一个无数据的机房 2. 查看实时数据和历史数据,1. 页面显示“暂无数据”提示 2. 功能控件正常显示,"数据, 提示",2,功能测试,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在数据加载过程中取消操作,无,1. 进入“运行分析--机房环境--温湿度分析”页面 2. 选择楼栋和机房 3. 点击“查询” 4. 在数据加载过程中点击“取消”,1. 数据加载停止 2. 页面返回到查询前状态,"取消, 操作",2,功能测试,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在数据加载失败时进行重试,无,1. 模拟数据加载失败 2. 进入“运行分析--机房环境--温湿度分析”页面 3. 点击“重试”,1. 系统提示“数据加载失败” 2. 点击“重试”后数据重新加载,"重试, 异常处理",2,功能测试,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在数据加载失败时进行刷新,无,1. 模拟数据加载失败 2. 进入“运行分析--机房环境--温湿度分析”页面 3. 点击“刷新”,1. 页面重新加载 2. 数据重新加载成功,"刷新, 异常处理",2,功能测试,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在数据加载失败时进行重新选择,无,1. 模拟数据加载失败 2. 进入“运行分析--机房环境--温湿度分析”页面 3. 重新选择楼栋和机房,1. 页面重新加载 2. 数据重新加载成功,"重新选择, 异常处理",2,功能测试,系统测试阶段,未执行
运行分析,v1.2,机柜管理,[AI Assist][机柜管理] 验证用户能否在数据加载失败时进行重新查询,无,1. 模拟数据加载失败 2. 进入“运行分析--机房环境--温湿度分析”页面 3. 点击“查询”,1. 页面重新加载 2. 数据重新加载成功,"重新查询, 异常处理",2,功能测试,系统测试阶段,未执行
